Name	Start	End	G-content
NC_045512.2	328	377	20
NC_045512.2	329	378	20
NC_045512.2	330	379	20
NC_045512.2	331	380	20
NC_045512.2	327	376	19
NC_045512.2	332	381	19
NC_045512.2	236	285	19
NC_045512.2	340	389	19
NC_045512.2	341	390	19
NC_045512.2	520	569	19
NC_045512.2	2154	2203	19
NC_045512.2	2155	2204	19
NC_045512.2	18295	18344	19
NC_045512.2	18296	18345	19
NC_045512.2	28870	28919	19
NC_045512.2	28871	28920	19
NC_045512.2	29734	29783	19
NC_045512.2	235	284	18
NC_045512.2	237	286	18
NC_045512.2	246	295	18
NC_045512.2	325	374	18
NC_045512.2	326	375	18
NC_045512.2	333	382	18
NC_045512.2	334	383	18
NC_045512.2	335	384	18
NC_045512.2	336	385	18
NC_045512.2	337	386	18
NC_045512.2	338	387	18
NC_045512.2	339	388	18
NC_045512.2	342	391	18
NC_045512.2	343	392	18
NC_045512.2	344	393	18
NC_045512.2	345	394	18
NC_045512.2	346	395	18
NC_045512.2	347	396	18
NC_045512.2	518	567	18
NC_045512.2	519	568	18
NC_045512.2	521	570	18
NC_045512.2	522	571	18
NC_045512.2	523	572	18
NC_045512.2	524	573	18
NC_045512.2	553	602	18
NC_045512.2	2150	2199	18
NC_045512.2	2153	2202	18
NC_045512.2	2156	2205	18
NC_045512.2	2157	2206	18
NC_045512.2	2158	2207	18
NC_045512.2	2159	2208	18
NC_045512.2	2161	2210	18
NC_045512.2	2162	2211	18
NC_045512.2	3042	3091	18
NC_045512.2	3043	3092	18
NC_045512.2	3044	3093	18
NC_045512.2	3045	3094	18
NC_045512.2	3046	3095	18
NC_045512.2	3047	3096	18
NC_045512.2	18271	18320	18
NC_045512.2	18285	18334	18
NC_045512.2	18286	18335	18
NC_045512.2	18288	18337	18
NC_045512.2	18289	18338	18
NC_045512.2	18290	18339	18
NC_045512.2	18291	18340	18
NC_045512.2	18292	18341	18
NC_045512.2	18294	18343	18
NC_045512.2	18297	18346	18
NC_045512.2	28868	28917	18
NC_045512.2	28869	28918	18
NC_045512.2	28872	28921	18
NC_045512.2	28873	28922	18
NC_045512.2	28874	28923	18
NC_045512.2	28875	28924	18
NC_045512.2	28876	28925	18
NC_045512.2	28877	28926	18
NC_045512.2	28878	28927	18
NC_045512.2	29732	29781	18
NC_045512.2	29733	29782	18
NC_045512.2	29735	29784	18
NC_045512.2	29736	29785	18
NC_045512.2	29737	29786	18
NC_045512.2	224	273	17
NC_045512.2	225	274	17
NC_045512.2	226	275	17
NC_045512.2	227	276	17
NC_045512.2	229	278	17
NC_045512.2	230	279	17
NC_045512.2	231	280	17
NC_045512.2	232	281	17
NC_045512.2	233	282	17
NC_045512.2	234	283	17
NC_045512.2	238	287	17
NC_045512.2	239	288	17
NC_045512.2	240	289	17
NC_045512.2	241	290	17
NC_045512.2	242	291	17
NC_045512.2	244	293	17
NC_045512.2	245	294	17
NC_045512.2	247	296	17
NC_045512.2	322	371	17
NC_045512.2	323	372	17
NC_045512.2	324	373	17
NC_045512.2	348	397	17
NC_045512.2	349	398	17
NC_045512.2	350	399	17
NC_045512.2	351	400	17
NC_045512.2	509	558	17
NC_045512.2	515	564	17
NC_045512.2	517	566	17
NC_045512.2	525	574	17
NC_045512.2	526	575	17
NC_045512.2	529	578	17
NC_045512.2	530	579	17
NC_045512.2	532	581	17
NC_045512.2	533	582	17
NC_045512.2	551	600	17
NC_045512.2	552	601	17
NC_045512.2	554	603	17
NC_045512.2	555	604	17
NC_045512.2	556	605	17
NC_045512.2	557	606	17
NC_045512.2	757	806	17
NC_045512.2	758	807	17
NC_045512.2	759	808	17
NC_045512.2	760	809	17
NC_045512.2	761	810	17
NC_045512.2	762	811	17
NC_045512.2	1460	1509	17
NC_045512.2	1461	1510	17
NC_045512.2	1462	1511	17
NC_045512.2	1463	1512	17
NC_045512.2	2149	2198	17
NC_045512.2	2151	2200	17
NC_045512.2	2152	2201	17
NC_045512.2	2160	2209	17
NC_045512.2	2163	2212	17
NC_045512.2	2164	2213	17
NC_045512.2	3040	3089	17
NC_045512.2	3041	3090	17
NC_045512.2	3048	3097	17
NC_045512.2	3049	3098	17
NC_045512.2	3050	3099	17
NC_045512.2	4251	4300	17
NC_045512.2	4252	4301	17
NC_045512.2	4253	4302	17
NC_045512.2	4254	4303	17
NC_045512.2	4255	4304	17
NC_045512.2	6340	6389	17
NC_045512.2	6341	6390	17
NC_045512.2	6343	6392	17
NC_045512.2	6344	6393	17
